Date,Time,전압,전류,진공도,높이,datetime,is_working,work_group,work_id,original_file,elapsed_time,높이변화,누적하강,하강속도,하강속도_원본,높이변화량
25/07/16,11:49:41,31,7992,0.014,222,2025-07-16 11:49:41,True,3,SA00000_20250716_W002,SA00000_20250716.csv,0,,0,0.011111111111111112,0.0111111111111111,
25/07/16,11:49:42,31,7996,0.015,222,2025-07-16 11:49:42,True,3,SA00000_20250716_W002,SA00000_20250716.csv,1,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:43,30,7396,0.015,222,2025-07-16 11:49:43,True,3,SA00000_20250716_W002,SA00000_20250716.csv,2,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:44,31,7790,0.016,222,2025-07-16 11:49:44,True,3,SA00000_20250716_W002,SA00000_20250716.csv,3,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:45,32,8272,0.016,222,2025-07-16 11:49:45,True,3,SA00000_20250716_W002,SA00000_20250716.csv,4,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:46,33,8902,0.017,222,2025-07-16 11:49:46,True,3,SA00000_20250716_W002,SA00000_20250716.csv,5,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:47,33,8978,0.018,222,2025-07-16 11:49:47,True,3,SA00000_20250716_W002,SA00000_20250716.csv,6,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:48,33,8902,0.019,222,2025-07-16 11:49:48,True,3,SA00000_20250716_W002,SA00000_20250716.csv,7,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:49,33,9546,0.019,222,2025-07-16 11:49:49,True,3,SA00000_20250716_W002,SA00000_20250716.csv,8,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:50,33,9754,0.02,222,2025-07-16 11:49:50,True,3,SA00000_20250716_W002,SA00000_20250716.csv,9,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:51,34,10802,0.021,222,2025-07-16 11:49:51,True,3,SA00000_20250716_W002,SA00000_20250716.csv,10,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:52,34,10528,0.022,222,2025-07-16 11:49:52,True,3,SA00000_20250716_W002,SA00000_20250716.csv,11,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:53,34,11260,0.023,222,2025-07-16 11:49:53,True,3,SA00000_20250716_W002,SA00000_20250716.csv,12,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:54,33,9958,0.024,222,2025-07-16 11:49:54,True,3,SA00000_20250716_W002,SA00000_20250716.csv,13,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:55,34,10500,0.025,222,2025-07-16 11:49:55,True,3,SA00000_20250716_W002,SA00000_20250716.csv,14,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:56,34,11750,0.027,222,2025-07-16 11:49:56,True,3,SA00000_20250716_W002,SA00000_20250716.csv,15,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:57,34,10450,0.028,222,2025-07-16 11:49:57,True,3,SA00000_20250716_W002,SA00000_20250716.csv,16,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:58,34,10430,0.03,222,2025-07-16 11:49:58,True,3,SA00000_20250716_W002,SA00000_20250716.csv,17,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:49:59,35,10966,0.032,222,2025-07-16 11:49:59,True,3,SA00000_20250716_W002,SA00000_20250716.csv,18,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:00,35,11102,0.034,222,2025-07-16 11:50:00,True,3,SA00000_20250716_W002,SA00000_20250716.csv,19,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:01,35,11756,0.036,222,2025-07-16 11:50:01,True,3,SA00000_20250716_W002,SA00000_20250716.csv,20,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:02,36,12638,0.038,222,2025-07-16 11:50:02,True,3,SA00000_20250716_W002,SA00000_20250716.csv,21,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:03,35,12306,0.04,222,2025-07-16 11:50:03,True,3,SA00000_20250716_W002,SA00000_20250716.csv,22,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:04,36,12800,0.042,222,2025-07-16 11:50:04,True,3,SA00000_20250716_W002,SA00000_20250716.csv,23,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:05,36,12662,0.043,222,2025-07-16 11:50:05,True,3,SA00000_20250716_W002,SA00000_20250716.csv,24,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:06,36,12916,0.045,222,2025-07-16 11:50:06,True,3,SA00000_20250716_W002,SA00000_20250716.csv,25,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:07,36,12672,0.046,222,2025-07-16 11:50:07,True,3,SA00000_20250716_W002,SA00000_20250716.csv,26,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:08,36,13238,0.048,222,2025-07-16 11:50:08,True,3,SA00000_20250716_W002,SA00000_20250716.csv,27,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:09,36,13346,0.049,222,2025-07-16 11:50:09,True,3,SA00000_20250716_W002,SA00000_20250716.csv,28,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:10,36,13274,0.05,222,2025-07-16 11:50:10,True,3,SA00000_20250716_W002,SA00000_20250716.csv,29,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:11,36,12982,0.051,222,2025-07-16 11:50:11,True,3,SA00000_20250716_W002,SA00000_20250716.csv,30,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:12,36,12452,0.052,222,2025-07-16 11:50:12,True,3,SA00000_20250716_W002,SA00000_20250716.csv,31,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:13,36,13224,0.053,222,2025-07-16 11:50:13,True,3,SA00000_20250716_W002,SA00000_20250716.csv,32,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:14,36,13206,0.053,222,2025-07-16 11:50:14,True,3,SA00000_20250716_W002,SA00000_20250716.csv,33,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:15,36,12702,0.054,222,2025-07-16 11:50:15,True,3,SA00000_20250716_W002,SA00000_20250716.csv,34,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:16,36,12988,0.055,222,2025-07-16 11:50:16,True,3,SA00000_20250716_W002,SA00000_20250716.csv,35,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:17,36,13032,0.055,222,2025-07-16 11:50:17,True,3,SA00000_20250716_W002,SA00000_20250716.csv,36,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:18,36,12818,0.056,222,2025-07-16 11:50:18,True,3,SA00000_20250716_W002,SA00000_20250716.csv,37,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:19,36,12798,0.056,222,2025-07-16 11:50:19,True,3,SA00000_20250716_W002,SA00000_20250716.csv,38,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:20,36,12700,0.056,222,2025-07-16 11:50:20,True,3,SA00000_20250716_W002,SA00000_20250716.csv,39,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:21,36,12666,0.056,222,2025-07-16 11:50:21,True,3,SA00000_20250716_W002,SA00000_20250716.csv,40,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:22,37,12926,0.057,222,2025-07-16 11:50:22,True,3,SA00000_20250716_W002,SA00000_20250716.csv,41,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:23,37,13230,0.057,222,2025-07-16 11:50:23,True,3,SA00000_20250716_W002,SA00000_20250716.csv,42,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:24,36,12908,0.057,222,2025-07-16 11:50:24,True,3,SA00000_20250716_W002,SA00000_20250716.csv,43,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:25,37,12206,0.058,222,2025-07-16 11:50:25,True,3,SA00000_20250716_W002,SA00000_20250716.csv,44,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:26,36,12826,0.058,222,2025-07-16 11:50:26,True,3,SA00000_20250716_W002,SA00000_20250716.csv,45,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:27,37,12696,0.058,222,2025-07-16 11:50:27,True,3,SA00000_20250716_W002,SA00000_20250716.csv,46,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:28,36,12470,0.058,222,2025-07-16 11:50:28,True,3,SA00000_20250716_W002,SA00000_20250716.csv,47,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:29,37,13152,0.059,222,2025-07-16 11:50:29,True,3,SA00000_20250716_W002,SA00000_20250716.csv,48,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:30,37,12492,0.059,222,2025-07-16 11:50:30,True,3,SA00000_20250716_W002,SA00000_20250716.csv,49,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:31,37,12568,0.059,222,2025-07-16 11:50:31,True,3,SA00000_20250716_W002,SA00000_20250716.csv,50,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:32,37,13276,0.059,222,2025-07-16 11:50:32,True,3,SA00000_20250716_W002,SA00000_20250716.csv,51,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:33,37,13170,0.059,222,2025-07-16 11:50:33,True,3,SA00000_20250716_W002,SA00000_20250716.csv,52,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:34,37,13428,0.059,222,2025-07-16 11:50:34,True,3,SA00000_20250716_W002,SA00000_20250716.csv,53,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:35,37,12856,0.059,222,2025-07-16 11:50:35,True,3,SA00000_20250716_W002,SA00000_20250716.csv,54,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:36,36,12464,0.059,222,2025-07-16 11:50:36,True,3,SA00000_20250716_W002,SA00000_20250716.csv,55,0.0,0,0.011111111111111112,0.0111111111111111,0.0
25/07/16,11:50:37,36,12744,0.059,222,2025-07-16 11:50:37,True,3,SA00000_20250716_W002,SA00000_20250716.csv,56,0.0,0,0.011111111111111112,0.0111111111111111,0.0
